,N,Z,A,Elt.,Orig.,Mass excess (keV),Mass excess (uncertainty),Binding energy per nucleon (keV),Binding energy per nucleon (uncertainty),Beta-decay Type,Beta-decay energy (keV),Beta-decay energy (uncertainty),Atomic mass (μu),Atomic mass (uncertainty)
1948,87,62.0,149.0,Sm,NA,-77135.898,1.157,8263.4683,0.0078,B-,-694.5812,3.7881,148.917191211,1.241
1949,86,63.0,149.0,Eu,NA,-76441.317,3.903,8253.5560,0.0262,B-,-1314.1437,4.1361,148.917936875,4.190
1950,85,64.0,149.0,Gd,NA,-75127.173,3.310,8239.4856,0.0222,B-,-3638.5336,4.3388,148.919347666,3.553
1951,84,65.0,149.0,Tb,NA,-71488.639,3.629,8209.8153,0.0244,B-,-3794.6493,9.1335,148.923253792,3.895
1952,83,66.0,149.0,Dy,NA,-67693.99,9.183,8179.0972,0.0616,B-,-6048.1366,12.7928,148.927327516,9.858
1953,82,67.0,149.0,Ho,NA,-61645.854,11.985,8133.2550,0.0804,B-,-7904.2328,30.4066,148.933820457,12.866
1954,81,68.0,149.0,Er,x,-53741.621,27.945,8074.9558,0.1875,B-,-9801.0,202#,148.942306,30.000
1955,80,69.0,149.0,Tm,x,-43940#,200#,8004#,1#,B-,-10611.0,361#,148.952828,215#
1956,79,70.0,149.0,Yb,x,-33330#,300#,7927#,2#,B-,*,NA,148.964219,322#
1957,96,54.0,150.0,Xe,x,-28990#,300#,7983#,2#,B-,9180.0,500#,149.968878,322#
1958,95,55.0,150.0,Cs,x,-38170#,400#,8039#,3#,B-,11720.0,400#,149.959023,429#
1959,94,56.0,150.0,Ba,x,-49889.799,5.682,8111.8405,0.0379,B-,6421.3477,6.2138,149.9464411,6.100
1960,93,57.0,150.0,La,x,-56311.147,2.515,8149.4339,0.0168,B-,8535.7155,11.9641,149.9395475,2.700
1961,92,58.0,150.0,Ce,NA,-64846.863,11.697,8201.1230,0.0780,B-,3453.6462,14.2913,149.930384032,12.556
1962,91,59.0,150.0,Pr,NA,-68300.509,9.015,8218.9316,0.0601,B-,5379.4422,9.0682,149.926676391,9.677
1963,90,60.0,150.0,Nd,NA,-73679.951,1.129,8249.5789,0.0075,B-,-82.6155,20.0010,149.920901322,1.211
1964,89,61.0,150.0,Pm,+,-73597.336,20.031,8243.8125,0.1335,B-,3454.0,20.0000,149.920990014,21.504
1965,88,62.0,150.0,Sm,NA,-77051.336,1.112,8261.6235,0.0074,B-,-2258.9662,6.1803,149.917281993,1.193
1966,87,63.0,150.0,Eu,NA,-74792.369,6.231,8241.3481,0.0415,B-,971.6815,3.5428,149.919707092,6.688
1967,86,64.0,150.0,Gd,NA,-75764.051,6.055,8242.6103,0.0404,B-,-4658.2621,8.3784,149.918663949,6.500
1968,85,65.0,150.0,Tb,NA,-71105.789,7.371,8206.3396,0.0491,B-,-1796.1707,8.3886,149.923664799,7.912
1969,84,66.0,150.0,Dy,NA,-69309.618,4.319,8189.1495,0.0288,B-,-7363.7264,14.4629,149.925593068,4.636
1970,83,67.0,150.0,Ho,NA,-61945.892,14.168,8134.8423,0.0945,B-,-4114.5689,13.5910,149.933498353,15.209
1971,82,68.0,150.0,Er,NA,-57831.323,17.194,8102.1962,0.1146,B-,-11340.0,196#,149.937915524,18.458
1972,81,69.0,150.0,Tm,x,-46491#,196#,8021#,1#,B-,-7661.0,358#,149.95009,210#
1973,80,70.0,150.0,Yb,x,-38830#,300#,7965#,2#,B-,-14059.0,424#,149.958314,322#
1974,79,71.0,150.0,Lu,-p,-24771#,300#,7866#,2#,B-,*,NA,149.973407,322#
1975,96,55.0,151.0,Cs,x,-34280#,500#,8013#,3#,B-,10660.0,640#,150.963199,537#
1976,95,56.0,151.0,Ba,x,-44940#,400#,8079#,3#,B-,8370.0,591#,150.951755,429#
1977,94,57.0,151.0,La,x,-53310.339,435.473,8129.0436,2.8839,B-,7914.7191,435.8330,150.942769,467.500
1978,93,58.0,151.0,Ce,x,-61225.058,17.698,8176.2779,0.1172,B-,5554.6233,21.1885,150.9342722,19.000
1979,92,59.0,151.0,Pr,NA,-66779.681,11.650,8207.8824,0.0772,B-,4163.5021,11.6789,150.928309066,12.506
1980,91,60.0,151.0,Nd,NA,-70943.183,1.133,8230.2741,0.0075,B-,2443.0767,4.4734,150.923839363,1.215
1981,90,61.0,151.0,Pm,NA,-73386.26,4.611,8241.2723,0.0305,B-,1190.2198,4.4757,150.921216613,4.949
1982,89,62.0,151.0,Sm,NA,-74576.48,1.110,8243.9735,0.0074,B-,76.6182,0.5375,150.919938859,1.191
1983,88,63.0,151.0,Eu,NA,-74653.098,1.166,8239.2998,0.0077,B-,-464.1779,2.7791,150.919856606,1.251
1984,87,64.0,151.0,Gd,NA,-74188.92,2.993,8231.0446,0.0198,B-,-2565.3796,3.7615,150.920354922,3.212
1985,86,65.0,151.0,Tb,NA,-71623.541,4.094,8208.8743,0.0271,B-,-2871.1525,4.9455,150.92310897,4.395
1986,85,66.0,151.0,Dy,-a,-68752.388,3.247,8184.6789,0.0215,B-,-5129.6421,8.7507,150.926191279,3.486
1987,84,67.0,151.0,Ho,-a,-63622.746,8.298,8145.5267,0.0550,B-,-5356.4558,18.4420,150.931698176,8.908
1988,83,68.0,151.0,Er,x,-58266.290,16.470,8104.8723,0.1091,B-,-7494.6768,25.4292,150.937448567,17.681
1989,82,69.0,151.0,Tm,NA,-50771.613,19.375,8050.0576,0.1283,B-,-9229.2615,300.1329,150.945494433,20.799
1990,81,70.0,151.0,Yb,ep,-41542.352,300.492,7983.7556,1.9900,B-,-11242.0,425#,150.955402453,322.591
1991,80,71.0,151.0,Lu,-p,-30300#,300#,7904#,2#,B-,*,NA,150.967471,322#
1992,97,55.0,152.0,Cs,x,-29130#,500#,7980#,3#,B-,12480.0,640#,151.968728,537#
1993,96,56.0,152.0,Ba,x,-41610#,400#,8057#,3#,B-,7680.0,500#,151.95533,429#
1994,95,57.0,152.0,La,x,-49290#,300#,8102#,2#,B-,9690.0,361#,151.947085,322#
1995,94,58.0,152.0,Ce,x,-58980#,200#,8161#,1#,B-,4778.0,201#,151.936682,215#
1996,93,59.0,152.0,Pr,x,-63758.070,18.537,8187.1049,0.1220,B-,6391.5934,30.7035,151.9315529,19.900
1997,92,60.0,152.0,Nd,NA,-70149.663,24.476,8224.0078,0.1610,B-,1104.805,18.5011,151.924691242,26.276
1998,91,61.0,152.0,Pm,NA,-71254.468,25.904,8226.1293,0.1704,B-,3508.5089,25.8859,151.923505185,27.809
1999,90,62.0,152.0,Sm,NA,-74762.977,1.016,8244.0645,0.0067,B-,-1874.4774,0.6857,151.919738646,1.090
2000,89,63.0,152.0,Eu,NA,-72888.5,1.166,8226.5854,0.0077,B-,1818.8037,0.7002,151.92175098,1.252
2001,88,64.0,152.0,Gd,NA,-74707.304,1.007,8233.4042,0.0066,B-,-3990.0,40.0000,151.919798414,1.081
2002,87,65.0,152.0,Tb,-,-70717.304,40.013,8202.0072,0.2632,B-,-599.3405,40.2575,151.924081855,42.955
2003,86,66.0,152.0,Dy,-a,-70117.963,4.593,8192.9171,0.0302,B-,-6513.3275,13.3176,151.924725274,4.930
2004,85,67.0,152.0,Ho,NA,-63604.636,12.528,8144.9193,0.0824,B-,-3104.4174,9.8150,151.931717618,13.449
2005,84,68.0,152.0,Er,NA,-60500.218,8.830,8119.3485,0.0581,B-,-8779.9397,54.7434,151.935050347,9.478
2006,83,69.0,152.0,Tm,NA,-51720.279,54.027,8056.4387,0.3554,B-,-5449.8923,139.6200,151.944476,58.000
2007,82,70.0,152.0,Yb,NA,-46270.386,149.708,8015.4371,0.9849,B-,-12848.0,246#,151.950326699,160.718
2008,81,71.0,152.0,Lu,x,-33422#,196#,7926#,1#,B-,*,NA,151.96412,210#
2009,97,56.0,153.0,Ba,x,-36470#,400#,8023#,3#,B-,9590.0,500#,152.960848,429#
2010,96,57.0,153.0,La,x,-46060#,300#,8081#,2#,B-,8850.0,361#,152.950553,322#
2011,95,58.0,153.0,Ce,x,-54910#,200#,8134#,1#,B-,6659.0,201#,152.941052,215#
2012,94,59.0,153.0,Pr,NA,-61568.49,11.882,8172.0371,0.0777,B-,5761.8901,12.1896,152.933903511,12.755
2013,93,60.0,153.0,Nd,NA,-67330.38,2.747,8204.5832,0.0180,B-,3317.6236,9.3521,152.927717868,2.949
2014,92,61.0,153.0,Pm,NA,-70648.003,9.063,8221.1536,0.0592,B-,1912.0559,9.0829,152.924156252,9.729
2015,91,62.0,153.0,Sm,-n,-72560.059,1.025,8228.5373,0.0067,B-,807.4073,0.7063,152.922103576,1.100
2016,90,63.0,153.0,Eu,NA,-73367.466,1.171,8228.7011,0.0077,B-,-484.5225,0.7150,152.921236789,1.257
2017,89,64.0,153.0,Gd,NA,-72882.944,1.002,8220.4209,0.0066,B-,-1569.334,3.8444,152.921756945,1.075
2018,88,65.0,153.0,Tb,NA,-71313.61,3.947,8205.0504,0.0258,B-,-2170.4134,1.9335,152.923441694,4.237
2019,87,66.0,153.0,Dy,NA,-69143.197,4.001,8185.7514,0.0262,B-,-4131.1229,6.1571,152.925771729,4.295
2020,86,67.0,153.0,Ho,-a,-65012.074,5.066,8153.6372,0.0331,B-,-4545.3918,9.8899,152.930206671,5.438
2021,85,68.0,153.0,Er,NA,-60466.682,9.285,8118.8154,0.0607,B-,-6494.0723,12.8812,152.93508635,9.967
2022,84,69.0,153.0,Tm,NA,-53972.61,11.979,8071.2571,0.0783,B-,-6813.0,201#,152.942058023,12.860
2023,83,70.0,153.0,Yb,x,-47160#,200#,8022#,1#,B-,-8784.0,250#,152.949372,215#
2024,82,71.0,153.0,Lu,+a,-38375.462,150.017,7959.0882,0.9805,B-,-11075.0,335#,152.958802248,161.050
2025,81,72.0,153.0,Hf,x,-27300#,300#,7882#,2#,B-,*,NA,152.970692,322#
2026,98,56.0,154.0,Ba,x,-32920#,500#,8001#,3#,B-,8610.0,583#,153.964659,537#
2027,97,57.0,154.0,La,x,-41530#,300#,8051#,2#,B-,10690.0,361#,153.955416,322#
2028,96,58.0,154.0,Ce,x,-52220#,200#,8116#,1#,B-,5640.0,224#,153.94394,215#
2029,95,59.0,154.0,Pr,+,-57859.602,100.005,8147.2994,0.6494,B-,7720.0,100.0000,153.937885165,107.360
2030,94,60.0,154.0,Nd,x,-65579.602,1.025,8192.3491,0.0067,B-,2687.0,25.0000,153.929597404,1.100
2031,93,61.0,154.0,Pm,-,-68266.602,25.021,8204.7170,0.1625,B-,4188.9614,25.0550,153.926712791,26.861
2032,92,62.0,154.0,Sm,NA,-72455.564,1.305,8226.8379,0.0085,B-,-717.1969,1.1019,153.922215756,1.400
2033,91,63.0,154.0,Eu,NA,-71738.367,1.188,8217.1006,0.0077,B-,1967.9913,0.7535,153.922985699,1.275
2034,90,64.0,154.0,Gd,NA,-73706.358,0.994,8224.7996,0.0065,B-,-3549.6514,45.2983,153.920872974,1.066
2035,89,65.0,154.0,Tb,-,-70156.707,45.309,8196.6697,0.2942,B-,237.308,45.9008,153.924683681,48.641
2036,88,66.0,154.0,Dy,NA,-70394.015,7.431,8193.1305,0.0483,B-,-5754.6363,10.1785,153.92442892,7.977
2037,87,67.0,154.0,Ho,-a,-64639.378,8.216,8150.6825,0.0534,B-,-2034.4045,9.4621,153.930606776,8.820
2038,86,68.0,154.0,Er,NA,-62604.974,4.961,8132.3919,0.0322,B-,-8177.8316,14.9113,153.932790799,5.325
2039,85,69.0,154.0,Tm,-a,-54427.142,14.412,8074.2090,0.0936,B-,-4495.0495,13.9528,153.941570062,15.471
2040,84,70.0,154.0,Yb,NA,-49932.093,17.281,8039.9402,0.1122,B-,-10265.0,201#,153.946395696,18.551
2041,83,71.0,154.0,Lu,+a,-39667#,201#,7968#,1#,B-,-6937.0,361#,153.957416,216#
2042,82,72.0,154.0,Hf,x,-32730#,300#,7918#,2#,B-,*,NA,153.964863,322#
2043,98,57.0,155.0,La,x,-37930#,400#,8028#,3#,B-,9850.0,500#,154.95928,429#
2044,97,58.0,155.0,Ce,x,-47780#,300#,8087#,2#,B-,7635.0,300#,154.948706,322#
2045,96,59.0,155.0,Pr,NA,-55415.335,17.198,8131.0398,0.1110,B-,6868.4609,19.4725,154.940509193,18.462
2046,95,60.0,155.0,Nd,NA,-62283.796,9.154,8170.3050,0.0591,B-,4656.2095,10.2781,154.933135598,9.826
2047,94,61.0,155.0,Pm,NA,-66940.006,4.719,8195.2977,0.0304,B-,3251.1999,4.9024,154.928136951,5.065
2048,93,62.0,155.0,Sm,-n,-70191.206,1.332,8211.2258,0.0086,B-,1627.1314,1.2016,154.924646645,1.429
2049,92,63.0,155.0,Eu,NA,-71818.337,1.252,8216.6760,0.0081,B-,251.9612,0.8682,154.922899847,1.343
2050,91,64.0,155.0,Gd,NA,-72070.298,0.983,8213.2541,0.0063,B-,-819.8588,9.7884,154.922629356,1.055
2051,90,65.0,155.0,Tb,+,-71250.439,9.830,8202.9173,0.0634,B-,-2094.5,1.8974,154.923509511,10.552
2052,89,66.0,155.0,Dy,NA,-69155.939,9.645,8184.3570,0.0622,B-,-3116.1405,16.5887,154.925758049,10.354
2053,88,67.0,155.0,Ho,NA,-66039.799,17.470,8159.2055,0.1127,B-,-3830.6268,18.4730,154.929103363,18.754
2054,87,68.0,155.0,Er,-a,-62209.172,6.074,8129.4444,0.0392,B-,-5583.2509,11.5109,154.93321571,6.520
2055,86,69.0,155.0,Tm,-a,-56625.921,9.921,8088.3760,0.0640,B-,-6123.3072,19.3388,154.939209576,10.651
2056,85,70.0,155.0,Yb,-a,-50502.614,16.600,8043.8234,0.1071,B-,-7957.5578,25.4153,154.945783216,17.820
2057,84,71.0,155.0,Lu,NA,-42545.056,19.245,7987.4369,0.1242,B-,-8235.0,301#,154.954326005,20.660
2058,83,72.0,155.0,Hf,x,-34310#,300#,7929#,2#,B-,-10322.0,424#,154.963167,322#
2059,82,73.0,155.0,Ta,-p,-23988#,300#,7858#,2#,B-,*,NA,154.974248,322#
2060,99,57.0,156.0,La,x,-33050#,400#,7997#,3#,B-,11769.0,500#,155.964519,429#
2061,98,58.0,156.0,Ce,x,-44820#,300#,8068#,2#,B-,6630.0,300#,155.951884,322#
2062,97,59.0,156.0,Pr,x,-51449.307,1.025,8105.2337,0.0066,B-,8752.8229,1.6585,155.9447669,1.100
2063,96,60.0,156.0,Nd,x,-60202.130,1.304,8156.3265,0.0084,B-,3964.7175,1.7642,155.935370358,1.400
2064,95,61.0,156.0,Pm,NA,-64166.847,1.188,8176.7263,0.0076,B-,5193.8878,8.6044,155.931114059,1.275
2065,94,62.0,156.0,Sm,NA,-69360.735,8.522,8205.0054,0.0546,B-,722.109,7.9025,155.925538191,9.148
2066,93,63.0,156.0,Eu,NA,-70082.844,3.532,8204.6192,0.0226,B-,2452.4891,3.4083,155.924762976,3.791
2067,92,64.0,156.0,Gd,NA,-72535.333,0.983,8215.3253,0.0063,B-,-2444.323,3.6774,155.92213012,1.054
2068,91,65.0,156.0,Tb,NA,-70091.01,3.768,8194.6415,0.0242,B-,438.3762,3.6789,155.924754209,4.044
2069,90,66.0,156.0,Dy,NA,-70529.386,0.988,8192.4366,0.0063,B-,-4990.9836,38.4111,155.924283593,1.060
2070,89,67.0,156.0,Ho,-,-65538.403,38.424,8155.4280,0.2463,B-,-1326.7201,45.6391,155.929641634,41.249
2071,88,68.0,156.0,Er,NA,-64211.683,24.629,8141.9084,0.1579,B-,-7377.2657,26.7099,155.931065926,26.440
2072,87,69.0,156.0,Tm,NA,-56834.417,14.279,8089.6032,0.0915,B-,-3568.8794,12.5484,155.938985746,15.328
2073,86,70.0,156.0,Yb,NA,-53265.538,9.308,8061.7107,0.0597,B-,-9565.988,54.9162,155.942817096,9.992
2074,85,71.0,156.0,Lu,-a,-43699.550,54.122,7995.3752,0.3469,B-,-5880.0352,139.6908,155.953086606,58.102
2075,84,72.0,156.0,Hf,NA,-37819.514,149.740,7952.6676,0.9599,B-,-11819.0,335#,155.959399083,160.752
2076,83,73.0,156.0,Ta,-p,-26001#,300#,7872#,2#,B-,*,NA,155.972087,322#
2077,100,57.0,157.0,La,x,-29070#,300#,7972#,2#,B-,10860.0,500#,156.968792,322#
2078,99,58.0,157.0,Ce,x,-39930#,400#,8037#,3#,B-,8504.0,400#,156.957133,429#
2079,98,59.0,157.0,Pr,x,-48434.806,3.167,8085.8170,0.0202,B-,8059.3109,3.8207,156.9480031,3.400
2080,97,60.0,157.0,Nd,NA,-56494.117,2.137,8132.1671,0.0136,B-,5802.9994,7.3246,156.939351074,2.294
2081,96,61.0,157.0,Pm,NA,-62297.116,7.006,8164.1458,0.0446,B-,4380.5376,8.2650,156.933121298,7.521
2082,95,62.0,157.0,Sm,NA,-66677.654,4.434,8187.0642,0.0282,B-,2781.4807,6.1191,156.928418598,4.759
2083,94,63.0,157.0,Eu,NA,-69459.134,4.234,8199.7975,0.0270,B-,1364.7614,4.1973,156.925432556,4.545
2084,93,64.0,157.0,Gd,NA,-70823.896,0.977,8203.5072,0.0062,B-,-60.0473,0.2972,156.923967424,1.048
2085,92,65.0,157.0,Tb,NA,-70763.848,1.018,8198.1416,0.0065,B-,-1339.1791,5.1297,156.924031888,1.092
2086,91,66.0,157.0,Dy,NA,-69424.669,5.154,8184.6287,0.0328,B-,-2591.8068,23.7839,156.925469555,5.532
2087,90,67.0,157.0,Ho,NA,-66832.862,23.469,8163.1373,0.1495,B-,-3419.2146,33.6675,156.928251974,25.194
2088,89,68.0,157.0,Er,NA,-63413.648,26.505,8136.3757,0.1688,B-,-4704.369,38.5152,156.931922652,28.454
2089,88,69.0,157.0,Tm,x,-58709.279,27.945,8101.4285,0.1780,B-,-5289.3667,29.9971,156.936973,30.000
2090,87,70.0,157.0,Yb,NA,-53419.912,10.905,8062.7551,0.0695,B-,-6980.0942,14.2406,156.942651368,11.706
2091,86,71.0,157.0,Lu,NA,-46439.818,12.074,8013.3128,0.0769,B-,-7585.0,201#,156.950144807,12.961
2092,85,72.0,157.0,Hf,-a,-38855#,200#,7960#,1#,B-,-9259.0,250#,156.958288,215#
2093,84,73.0,157.0,Ta,IT,-29595.948,150.052,7896.0608,0.9557,B-,-9906.0,427#,156.968227445,161.087
2094,83,74.0,157.0,W,x,-19690#,400#,7828#,3#,B-,*,NA,156.978862,429#
2095,100,58.0,158.0,Ce,x,-36540#,400#,8015#,3#,B-,7610.0,500#,157.960773,429#
2096,99,59.0,158.0,Pr,x,-44150#,300#,8059#,2#,B-,9685.0,300#,157.952603,322#
2097,98,60.0,158.0,Nd,x,-53835.123,1.304,8114.9529,0.0083,B-,5271.0196,1.5776,157.94220562,1.400
2098,97,61.0,158.0,Pm,NA,-59106.143,0.888,8143.3622,0.0056,B-,6145.7062,4.8634,157.936546948,0.953
2099,96,62.0,158.0,Sm,NA,-65251.849,4.782,8177.3075,0.0303,B-,2018.6123,5.1146,157.929949262,5.133
2100,95,63.0,158.0,Eu,NA,-67270.461,2.032,8185.1320,0.0129,B-,3419.5081,2.2547,157.927782192,2.181
2101,94,64.0,158.0,Gd,NA,-70689.969,0.976,8201.8229,0.0062,B-,-1219.0862,0.9799,157.9241112,1.048
2102,93,65.0,158.0,Tb,NA,-69470.883,1.268,8189.1556,0.0080,B-,936.2686,2.4750,157.925419942,1.360
2103,92,66.0,158.0,Dy,NA,-70407.152,2.337,8190.1298,0.0148,B-,-4219.7555,27.0048,157.924414817,2.509
2104,91,67.0,158.0,Ho,-,-66187.396,27.106,8158.4709,0.1716,B-,-883.5812,37.0236,157.92894491,29.099
2105,90,68.0,158.0,Er,NA,-65303.815,25.219,8147.9270,0.1596,B-,-6600.6151,31.3411,157.929893474,27.074
2106,89,69.0,158.0,Tm,NA,-58703.2,25.219,8101.1994,0.1596,B-,-2693.5796,26.4499,157.936979525,27.074
2107,88,70.0,158.0,Yb,NA,-56009.62,7.973,8079.1999,0.0505,B-,-8797.4201,16.8655,157.939871202,8.559
2108,87,71.0,158.0,Lu,-a,-47212.200,15.125,8018.5685,0.0957,B-,-5109.801,14.9373,157.94931562,16.236
2109,86,72.0,158.0,Hf,NA,-42102.399,17.494,7981.2764,0.1107,B-,-10984.0,201#,157.954801217,18.780
2110,85,73.0,158.0,Ta,+a,-31118#,201#,7907#,1#,B-,-7426.0,361#,157.966593,215#
2111,84,74.0,158.0,W,-a,-23693#,300#,7855#,2#,B-,*,NA,157.974565,322#
2112,101,58.0,159.0,Ce,x,-31340#,500#,7983#,3#,B-,9430.0,640#,158.966355,537#
2113,100,59.0,159.0,Pr,x,-40770#,400#,8037#,3#,B-,8954.0,401#,158.956232,429#
2114,99,60.0,159.0,Nd,x,-49724.007,29.808,8088.8224,0.1875,B-,6830.3441,31.4529,158.946619085,32.000
2115,98,61.0,159.0,Pm,NA,-56554.351,10.039,8126.8601,0.0631,B-,5653.4982,11.6438,158.939286409,10.777
2116,97,62.0,159.0,Sm,NA,-62207.849,5.934,8157.4963,0.0373,B-,3835.5363,7.3211,158.93321713,6.370
2117,96,63.0,159.0,Eu,NA,-66043.386,4.320,8176.6987,0.0272,B-,2518.4717,4.3657,158.929099512,4.637
2118,95,64.0,159.0,Gd,NA,-68561.857,0.980,8187.6177,0.0062,B-,970.7242,0.7495,158.926395822,1.051
2119,94,65.0,159.0,Tb,NA,-69532.582,1.103,8188.8025,0.0069,B-,-365.3613,1.1573,158.925353707,1.184
2120,93,66.0,159.0,Dy,NA,-69167.22,1.439,8181.5842,0.0091,B-,-1837.6,2.6833,158.925745938,1.544
2121,92,67.0,159.0,Ho,-,-67329.620,3.045,8165.1066,0.0192,B-,-2768.5,2.0000,158.927718683,3.268
2122,91,68.0,159.0,Er,-,-64561.120,3.643,8142.7742,0.0229,B-,-3990.7162,28.1813,158.93069079,3.910
2123,90,69.0,159.0,Tm,x,-60570.404,27.945,8112.7549,0.1758,B-,-4736.8869,33.0155,158.934975,30.000
2124,89,70.0,159.0,Yb,x,-55833.517,17.582,8078.0428,0.1106,B-,-6124.9081,41.5648,158.940060257,18.874
2125,88,71.0,159.0,Lu,x,-49708.609,37.663,8034.6009,0.2369,B-,-6856.003,41.2456,158.946635615,40.433
2126,87,72.0,159.0,Hf,-a,-42852.606,16.813,7986.5610,0.1057,B-,-8413.4492,25.8909,158.953995837,18.049
2127,86,73.0,159.0,Ta,IT,-34439.157,19.689,7928.7258,0.1238,B-,-9005.0,301#,158.963028046,21.137
2128,85,74.0,159.0,W,-a,-25434#,300#,7867#,2#,B-,-10629.0,427#,158.972696,322#
2129,84,75.0,159.0,Re,IT,-14805#,305#,7795#,2#,B-,*,NA,158.984106,327#
2130,101,59.0,160.0,Pr,x,-36200#,400#,8009#,2#,B-,10525.0,402#,159.961138,429#
2131,100,60.0,160.0,Nd,x,-46724.515,46.575,8069.9662,0.2911,B-,6170.1238,46.6198,159.949839172,50.000
2132,99,61.0,160.0,Pm,x,-52894.639,2.049,8103.6398,0.0128,B-,7338.5338,2.8330,159.943215272,2.200
2133,98,62.0,160.0,Sm,x,-60233.172,1.956,8144.6159,0.0122,B-,3260.2763,2.1547,159.935337032,2.100
2134,97,63.0,160.0,Eu,x,-63493.449,0.904,8160.1030,0.0057,B-,4448.6112,1.4417,159.931836982,0.970
2135,96,64.0,160.0,Gd,NA,-67942.06,1.123,8183.0171,0.0070,B-,-105.5863,1.0207,159.927061202,1.206
2136,95,65.0,160.0,Tb,NA,-67836.474,1.110,8177.4676,0.0069,B-,1835.9516,1.1011,159.927174553,1.191
2137,94,66.0,160.0,Dy,NA,-69672.425,0.700,8184.0526,0.0044,B-,-3290.0,15.0000,159.925203578,0.751
2138,93,67.0,160.0,Ho,-,-66382.425,15.016,8158.6004,0.0939,B-,-318.2488,28.5197,159.928735538,16.120
2139,92,68.0,160.0,Er,NA,-66064.176,24.246,8151.7217,0.1515,B-,-5763.1395,39.1333,159.929077193,26.029
2140,91,69.0,160.0,Tm,NA,-60301.037,32.686,8110.8124,0.2043,B-,-2137.8101,33.1447,159.935264177,35.089
2141,90,70.0,160.0,Yb,x,-58163.227,5.496,8092.5614,0.0343,B-,-7893.2846,57.0863,159.93755921,5.900
2142,89,71.0,160.0,Lu,x,-50269.942,56.821,8038.3387,0.3551,B-,-4331.1951,57.6165,159.946033,61.000
2143,88,72.0,160.0,Hf,NA,-45938.747,9.540,8006.3791,0.0596,B-,-10115.0475,55.1472,159.950682728,10.241
2144,87,73.0,160.0,Ta,-a,-35823.700,54.316,7938.2704,0.3395,B-,-6494.6267,139.8413,159.961541678,58.310
2145,86,74.0,160.0,W,NA,-29329.073,149.810,7892.7893,0.9363,B-,-12451.0,335#,159.968513946,160.828
2146,85,75.0,160.0,Re,-a,-16878#,300#,7810#,2#,B-,*,NA,159.98188,322#
2147,102,59.0,161.0,Pr,x,-32490#,500#,7986#,3#,B-,9741.0,640#,160.965121,537#
2148,101,60.0,161.0,Nd,x,-42230#,400#,8042#,2#,B-,7856.0,400#,160.954664,429#
2149,100,61.0,161.0,Pm,x,-50086.589,9.035,8085.9977,0.0561,B-,6585.4546,11.3187,160.946229837,9.700
2150,99,62.0,161.0,Sm,NA,-56672.043,6.817,8122.0418,0.0423,B-,5119.5577,12.4147,160.939160062,7.318
2151,98,63.0,161.0,Eu,NA,-61791.601,10.400,8148.9810,0.0646,B-,3714.5406,10.5074,160.933663991,11.164
2152,97,64.0,161.0,Gd,-n,-65506.142,1.504,8167.1934,0.0093,B-,1955.6357,1.4402,160.929676267,1.614
2153,96,65.0,161.0,Tb,NA,-67461.778,1.218,8174.4809,0.0076,B-,593.7166,1.2010,160.927576806,1.308
2154,95,66.0,161.0,Dy,NA,-68055.494,0.697,8173.3093,0.0043,B-,-859.2003,2.1368,160.926939425,0.748
2155,94,67.0,161.0,Ho,NA,-67196.294,2.151,8163.1134,0.0134,B-,-1994.9954,9.0041,160.927861815,2.309
2156,93,68.0,161.0,Er,+n,-65201.298,8.774,8145.8628,0.0545,B-,-3302.5839,29.2899,160.93000353,9.419
2157,92,69.0,161.0,Tm,x,-61898.715,27.945,8120.4906,0.1736,B-,-4064.4665,31.7640,160.933549,30.000
2158,91,70.0,161.0,Yb,x,-57834.248,15.101,8090.3861,0.0938,B-,-5271.8989,31.7640,160.937912384,16.211
2159,90,71.0,161.0,Lu,x,-52562.349,27.945,8052.7821,0.1736,B-,-6246.5319,36.4805,160.943572,30.000
2160,89,72.0,161.0,Hf,NA,-46315.817,23.450,8009.1245,0.1457,B-,-7537.2421,33.7278,160.950277927,25.174
2161,88,73.0,161.0,Ta,+a,-38778.575,24.381,7957.4500,0.1514,B-,-8272.0,202#,160.958369489,26.174
2162,87,74.0,161.0,W,-a,-30507#,200#,7901#,1#,B-,-9664.0,250#,160.967249,215#
2163,86,75.0,161.0,Re,NA,-20842.82,149.905,7836.3292,0.9311,B-,-10647.0,427#,160.977624313,160.930
2164,85,76.0,161.0,Os,-a,-10196#,400#,7765#,2#,B-,*,NA,160.989054,429#
2165,102,60.0,162.0,Nd,x,-39010#,400#,8022#,2#,B-,7030.0,500#,161.958121,429#
2166,101,61.0,162.0,Pm,x,-46040#,300#,8061#,2#,B-,8339.0,300#,161.950574,322#
2167,100,62.0,162.0,Sm,NA,-54379.053,3.523,8107.5745,0.0218,B-,4343.8905,3.7605,161.941621687,3.782
2168,99,63.0,162.0,Eu,NA,-58722.944,1.314,8129.5593,0.0081,B-,5557.7761,4.1748,161.936958329,1.410
2169,98,64.0,162.0,Gd,-nn,-64280.720,3.963,8159.0373,0.0245,B-,1598.8278,4.4611,161.930991812,4.254
2170,97,65.0,162.0,Tb,x,-65879.548,2.049,8164.0773,0.0127,B-,2301.6217,2.1640,161.9292754,2.200
2171,96,66.0,162.0,Dy,NA,-68181.169,0.695,8173.4555,0.0043,B-,-2140.6068,3.0926,161.926804507,0.746
